F8:B3:B7:3B:A8:E0 , 1 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 2 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 3 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 4 , 3ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 5 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 6 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 7 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 8 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 9 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 10 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 11 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 12 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 13 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 14 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 15 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 16 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 17 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 18 , 29ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 19 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 20 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 21 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 22 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 23 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 24 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 25 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 26 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 27 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 28 , 35ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 29 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 30 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 31 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 32 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 33 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 34 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 35 , 11ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 36 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 37 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 38 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 39 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 40 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 41 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 42 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 43 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 44 , 48ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 45 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 46 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 47 , 7ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 48 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 49 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 50 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 51 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 52 , 6ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 53 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 54 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 55 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 56 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 57 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 58 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 59 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 60 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 61 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 62 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 63 , 41ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 64 , 18ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 65 , 73ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 66 , 29ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 67 , 375ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 68 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 69 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 70 , 15ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 71 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 72 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 73 , 13ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 74 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 75 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 76 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 77 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 78 , 5ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 79 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 80 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 81 , 0ms , 2000-01-01 , 00:00:05
F8:B3:B7:3B:A8:E0 , 82 , 0ms , 2000-01-01 , 00:00:05
F8:B3:B7:3B:A8:E0 , 83 , 0ms , 2000-01-01 , 00:00:05
F8:B3:B7:3B:A8:E0 , 84 , 2ms , 2000-01-01 , 00:00:05
F8:B3:B7:3B:A8:E0 , 85 , 1ms , 2000-01-01 , 00:00:05
F8:B3:B7:3B:A8:E0 , 86 , 0ms , 2000-01-01 , 00:00:05
F8:B3:B7:3B:A8:E0 , 87 , 14ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 88 , 0ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 89 , 9ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 90 , 2ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 91 , 1ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 92 , 3ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 93 , 2ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 94 , 7ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 95 , 0ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 96 , 0ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 97 , 1ms , 2000-01-01 , 00:00:06
F8:B3:B7:3B:A8:E0 , 98 , 2ms , 2000-01-01 , 00:00:07
F8:B3:B7:3B:A8:E0 , 99 , 1ms , 2000-01-01 , 00:00:07
F8:B3:B7:3B:A8:E0 , 100 , 0ms , 2000-01-01 , 00:00:07
F8:B3:B7:3B:A8:E0 , 101 , 1ms , 2000-01-01 , 00:00:07
F8:B3:B7:3B:A8:E0 , 102 , 43ms , 2000-01-01 , 00:00:07
F8:B3:B7:3B:A8:E0 , 103 , 0ms , 2000-01-01 , 00:00:07
F8:B3:B7:3B:A8:E0 , 104 , 1ms , 2000-01-01 , 00:00:07
F8:B3:B7:3B:A8:E0 , 105 , 0ms , 2000-01-01 , 00:00:07
F8:B3:B7:3B:A8:E0 , 106 , 1ms , 2000-01-01 , 00:00:07
F8:B3:B7:3B:A8:E0 , 107 , 1ms , 2000-01-01 , 00:00:07
F8:B3:B7:3B:A8:E0 , 108 , 0ms , 2000-01-01 , 00:00:08
F8:B3:B7:3B:A8:E0 , 109 , 3ms , 2000-01-01 , 00:00:08
F8:B3:B7:3B:A8:E0 , 110 , 12ms , 2000-01-01 , 00:00:08
F8:B3:B7:3B:A8:E0 , 111 , 0ms , 2000-01-01 , 00:00:08
F8:B3:B7:3B:A8:E0 , 112 , 0ms , 2000-01-01 , 00:00:08
F8:B3:B7:3B:A8:E0 , 113 , 0ms , 2000-01-01 , 00:00:08
F8:B3:B7:3B:A8:E0 , 114 , 0ms , 2000-01-01 , 00:00:08
F8:B3:B7:3B:A8:E0 , 115 , 2ms , 2000-01-01 , 00:00:08
F8:B3:B7:3B:A8:E0 , 116 , 0ms , 2000-01-01 , 00:00:09
F8:B3:B7:3B:A8:E0 , 117 , 28ms , 2000-01-01 , 00:00:09
F8:B3:B7:3B:A8:E0 , 118 , 5ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 119 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 120 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 121 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 122 , 3ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 123 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 124 , 5ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 125 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 126 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 127 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 128 , 33ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 129 , 19ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 130 , 15ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 131 , 3ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 132 , 5ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 133 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 134 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 135 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 136 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 137 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 138 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 139 , 5ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 140 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 141 , 54ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 142 , 3ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 143 , 14ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 144 , 11ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 145 , 5ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 146 , 34ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 147 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 148 , 4ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 149 , 30ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 150 , 52ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 151 , 289ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 152 , 44ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 153 , 145ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 154 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 155 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 156 , 8ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 157 , 177ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 158 , 10ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 159 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 160 , 4ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 161 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 162 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 163 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 164 , 5ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 165 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 166 , 4ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 167 , 3ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 168 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 169 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 170 , 5ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 171 , 16ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 172 , 31ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 173 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 174 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 175 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 176 , 3ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 177 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 178 , 4ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 179 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 180 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 181 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 182 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 183 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 184 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 185 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 186 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 187 , 6ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 188 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 189 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 190 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 191 , 3ms , 2000-01-01 , 05:00:00
